label,Dim1,Dim2
4.0,-14.537317276000977,6.8268327713012695
0.0,-14.625577926635742,6.864520072937012
4.0,-14.536905288696289,6.834279537200928
1.0,-14.597713470458984,6.776270389556885
1.0,-14.567771911621094,6.783519744873047
4.0,-14.578409194946289,6.698946475982666
3.0,-14.543631553649902,6.76177453994751
4.0,-14.539142608642578,6.774901390075684
0.0,-14.731377601623535,6.778250694274902
1.0,-14.667878150939941,6.840169906616211
4.0,-14.638100624084473,6.856139183044434
0.0,-14.53205394744873,6.739073753356934
3.0,-14.542208671569824,6.769099712371826
3.0,-14.636960983276367,6.755397796630859
4.0,-14.561219215393066,6.8059611320495605
1.0,-14.861459732055664,6.786937236785889
0.0,-14.716263771057129,6.8824591636657715
4.0,-14.643840789794922,6.808820724487305
3.0,-14.598647117614746,6.841250896453857
1.0,-14.587148666381836,6.793327808380127
3.0,-14.492323875427246,6.778352737426758
4.0,-14.640356063842773,6.8201494216918945
0.0,-14.577287673950195,6.8232526779174805
3.0,-14.476540565490723,6.730406284332275
3.0,-14.52929401397705,6.771207809448242
0.0,-14.640034675598145,6.797167778015137
4.0,-14.8018217086792,6.809304237365723
4.0,-14.448203086853027,6.7746429443359375
4.0,-14.586235046386719,6.866564750671387
4.0,-14.55631160736084,6.773545265197754
3.0,-14.641295433044434,6.793270587921143
1.0,-14.64063549041748,6.795109272003174
3.0,-14.574287414550781,6.848573207855225
3.0,-14.464313507080078,6.750697135925293
1.0,-14.598400115966797,6.840648174285889
4.0,-14.516660690307617,6.776587963104248
4.0,-14.724416732788086,6.826448440551758
1.0,-14.605116844177246,6.786700248718262
0.0,-14.478829383850098,6.78046989440918
0.0,-14.668116569519043,6.79749059677124
3.0,-14.592325210571289,6.846949100494385
3.0,-14.630096435546875,6.81198787689209
4.0,-14.524578094482422,6.78167724609375
1.0,-14.581046104431152,6.741042137145996
4.0,-14.640589714050293,6.8627424240112305
4.0,-14.581381797790527,6.803455829620361
3.0,-14.65623950958252,6.823909282684326
3.0,-14.618250846862793,6.793788909912109
4.0,-14.569052696228027,6.838650226593018
3.0,-14.559816360473633,6.768074989318848
3.0,-14.446393013000488,6.7458696365356445
0.0,-14.493520736694336,6.799131870269775
0.0,-14.615155220031738,6.785783290863037
4.0,-14.565876960754395,6.822085380554199
4.0,-14.655549049377441,6.903425216674805
3.0,-14.599067687988281,6.815398216247559
0.0,-14.5482177734375,6.809698581695557
4.0,-14.61052131652832,6.803335666656494
1.0,-14.503366470336914,6.858587741851807
4.0,-14.511002540588379,6.788185119628906
1.0,-14.592257499694824,6.792853355407715
4.0,-14.567081451416016,6.735755920410156
3.0,-14.644529342651367,6.755649089813232
3.0,-14.617117881774902,6.810977458953857
4.0,-14.704106330871582,6.804274082183838
4.0,-14.773707389831543,6.881232261657715
4.0,-14.575779914855957,6.78637170791626
4.0,-14.59479808807373,6.811154842376709
4.0,-14.748397827148438,6.783863544464111
1.0,-14.654189109802246,6.890405654907227
3.0,-14.510994911193848,6.760345458984375
3.0,-14.636006355285645,6.799641132354736
0.0,-14.530289649963379,6.812554836273193
4.0,-14.39405632019043,6.756803512573242
4.0,-14.612581253051758,6.8377251625061035
3.0,-14.470686912536621,6.8406081199646
4.0,-14.661261558532715,6.8172760009765625
3.0,-14.5426025390625,6.781090259552002
3.0,-14.508658409118652,6.820149898529053
3.0,-14.643657684326172,6.829196453094482
0.0,-14.571657180786133,6.737234592437744
4.0,-14.519970893859863,6.826441287994385
4.0,-14.67673397064209,6.877990245819092
4.0,-14.689910888671875,6.840479373931885
0.0,-14.615936279296875,6.7829060554504395
3.0,-14.458971977233887,6.761082649230957
3.0,-14.598217964172363,6.844799995422363
