,Model,Neighbours,Distance,Weight,Trustworthiness,Accuracy,Bal. Accuracy,Cohen K,Matt. Corr. Coef
93,knn,15,0.4,0.4,0.980575303416404,0.7774193548387097 +/- 0.037584054453798255,0.7131296943796943 +/- 0.05273297187140724,0.5832272204736325 +/- 0.024447478974916337,0.5861592025074297 +/- 0.02426045161882636
94,xg,15,0.4,0.4,0.980575303416404,0.8172043010752689 +/- 0.03714121458847952,0.7605918001751335 +/- 0.06105762468320316,0.6968809164102369 +/- 0.022153246704300064,0.6992151506770272 +/- 0.021776224265213067
95,rf,15,0.4,0.5,0.9708438071380239,0.8659498207885304 +/- 0.023239901059396936,0.8245977787644454 +/- 0.043403132592424266,0.8239532630410258 +/- 0.01696826926889458,0.8250697813993647 +/- 0.017081920195499804
96,ada_rf,15,0.4,0.5,0.9708438071380239,0.8652329749103943 +/- 0.02424738924543434,0.8248754717504717 +/- 0.041833769234282364,0.7859912756625134 +/- 0.015572796906243337,0.7869745220138873 +/- 0.015578171566838637
97,nn,15,0.4,0.5,0.9708438071380239,0.8620071684587813 +/- 0.03158150145029027,0.8475803132053132 +/- 0.04722357023959278,0.7544653835573873 +/- 0.019177334287225605,0.7601359779644224 +/- 0.01847224932322926
98,knn,15,0.4,0.5,0.9708438071380239,0.8068100358422939 +/- 0.039682431466345064,0.757895268311935 +/- 0.06339001860435459,0.7196392509307208 +/- 0.024837814642300646,0.7207545099976931 +/- 0.024664711481648
99,xg,15,0.4,0.5,0.9708438071380239,0.8422939068100359 +/- 0.027858892574864704,0.7972132420049087 +/- 0.0463195823213308,0.7532450033650342 +/- 0.017668866675369807,0.754171220686612 +/- 0.017479542010361396
100,rf,15,0.5,0.1,0.9899684706085604,0.6845878136200717 +/- 0.04395817244551676,0.6366822220988888 +/- 0.06142414902213135,0.5334095875103005 +/- 0.02429331851311508,0.5381670949181812 +/- 0.024438362842293424
101,ada_rf,15,0.5,0.1,0.9899684706085604,0.685663082437276 +/- 0.04147069786954733,0.6406452343952344 +/- 0.0560305315773537,0.4992303065209248 +/- 0.024054270382719227,0.5048443440466355 +/- 0.024279687571105
102,nn,15,0.5,0.1,0.9899684706085604,0.6853046594982078 +/- 0.04091417054416406,0.6444713465546799 +/- 0.04839681284088652,0.4863716573463967 +/- 0.031058656934827733,0.493069070582143 +/- 0.0306841228987854
103,knn,15,0.5,0.1,0.9899684706085604,0.6501792114695341 +/- 0.04261341620223743,0.6003989066489066 +/- 0.05989855338882453,0.42972223155789635 +/- 0.026343304776815967,0.436579129867121 +/- 0.02632604739324661
104,xg,15,0.5,0.1,0.9899684706085604,0.6584229390681003 +/- 0.04204356866104878,0.5967986874236875 +/- 0.0628836054264716,0.4749869083600211 +/- 0.02976635410506866,0.48312152542078957 +/- 0.029790085599358928
105,rf,15,0.5,0.2,0.984700902690796,0.6763440860215054 +/- 0.04503487081793168,0.6226650278733612 +/- 0.06256575445546857,0.5466690956222616 +/- 0.024846836850055322,0.5565093681426316 +/- 0.024803099614596855
106,ada_rf,15,0.5,0.2,0.984700902690796,0.6788530465949821 +/- 0.04223751868239596,0.618273894315561 +/- 0.05773507026827517,0.5279835459411043 +/- 0.025715210000957868,0.5348639286502671 +/- 0.025629212854977823
107,nn,15,0.5,0.2,0.984700902690796,0.7075268817204301 +/- 0.03803222132171807,0.6600431590014924 +/- 0.05727430009067919,0.45789017946557414 +/- 0.021218356262837176,0.4676315784358305 +/- 0.020835365141276603
108,knn,15,0.5,0.2,0.984700902690796,0.6598566308243727 +/- 0.04504667318223518,0.608689150355817 +/- 0.061040443771871775,0.5036291456555699 +/- 0.023071668501214188,0.5173455929741995 +/- 0.023174780285004245
109,xg,15,0.5,0.2,0.984700902690796,0.6566308243727599 +/- 0.0471610275223194,0.6009886332802999 +/- 0.06554473199365848,0.541497045799781 +/- 0.026774650619755484,0.5509341112132966 +/- 0.027037177448990632
